name,owner,description,html_url,readme_url
QPong,QPong,A quantum version of the classic Pong,https://github.com/QPong/QPong,https://github.com/QPong/QPong/blob/main/README.md
QPong,QPong,A quantum version of the classic Pong,https://github.com/QPong/QPong,https://github.com/QPong/QPong/blob/master/README.md
Learn-Quantum-Computing-with-Python-and-IBM-Quantum-Experience,PacktPublishing,"Learn Quantum Computing with Python and IBM Quantum Experience, published by Packt",https://github.com/PacktPublishing/Learn-Quantum-Computing-with-Python-and-IBM-Quantum-Experience,https://github.com/PacktPublishing/Learn-Quantum-Computing-with-Python-and-IBM-Quantum-Experience/blob/master/README.md
sphincsplus,sphincs,"The SPHINCS+ reference code, accompanying the submission to NIST's  Post-Quantum Cryptography project",https://github.com/sphincs/sphincsplus,https://github.com/sphincs/sphincsplus/blob/master/README.md
azure-quantum-python,microsoft,The azure-quantum python package submits jobs to the Azure Quantum service.,https://github.com/microsoft/azure-quantum-python,https://github.com/microsoft/azure-quantum-python/blob/main/README.md
azure-quantum-python,microsoft,The azure-quantum python package submits jobs to the Azure Quantum service.,https://github.com/microsoft/azure-quantum-python,https://github.com/microsoft/azure-quantum-python/blob/master/README.md
ibm-quantum-challenge-fall-22,qiskit-community,For IBM Quantum Fall Challenge 2022,https://github.com/qiskit-community/ibm-quantum-challenge-fall-22,https://github.com/qiskit-community/ibm-quantum-challenge-fall-22/blob/main/README.md
ibm-quantum-challenge-fall-22,qiskit-community,For IBM Quantum Fall Challenge 2022,https://github.com/qiskit-community/ibm-quantum-challenge-fall-22,https://github.com/qiskit-community/ibm-quantum-challenge-fall-22/blob/master/README.md
qosf.org,qosf,Web portal of Quantum Open Source Foundation,https://github.com/qosf/qosf.org,https://github.com/qosf/qosf.org/blob/master/README.md
platypus,Qiskit,Qiskit Textbook (beta),https://github.com/Qiskit/platypus,https://github.com/Qiskit/platypus/blob/main/README.md
platypus,Qiskit,Qiskit Textbook (beta),https://github.com/Qiskit/platypus,https://github.com/Qiskit/platypus/blob/master/README.md
molgym,gncs,Reinforcement Learning for Molecular Design Guided by Quantum Mechanics,https://github.com/gncs/molgym,https://github.com/gncs/molgym/blob/master/README.md
oqs-demos,open-quantum-safe,PARTIALLY SUPPORTED Instructions for enabling the use of quantum-safe cryptography in assorted software using the OQS suite. CONTRIBUTORS WANTED.,https://github.com/open-quantum-safe/oqs-demos,https://github.com/open-quantum-safe/oqs-demos/blob/main/README.md
oqs-demos,open-quantum-safe,PARTIALLY SUPPORTED Instructions for enabling the use of quantum-safe cryptography in assorted software using the OQS suite. CONTRIBUTORS WANTED.,https://github.com/open-quantum-safe/oqs-demos,https://github.com/open-quantum-safe/oqs-demos/blob/master/README.md
